Seed,Train MSE,Train RMSE,Train MAE,Train R2,Test MSE,Test RMSE,Test MAE,Test R2
0,19.136344908600524,4.3745108193488935,3.4265042143047975,0.9313373059086433,69.76129477211546,8.352322717191635,7.8078047010633655,-0.3853305685063346
1,15.036254251282072,3.877660925259205,3.017551969132333,0.9460487501209475,53.56539758834638,7.318838540939838,6.814981418185761,-0.06370994024315024
2,138.16340618351103,11.754293095865487,8.82235873240345,0.5042589512935334,47.44654392821158,6.888145173282251,5.928121609157983,0.05779920099758584
3,15.58088583546249,3.9472630816126877,3.0376147144245653,0.9440945696316386,70.8451995269533,8.416959042727562,7.846430347583909,-0.4068549165725692
4,13.074841288693936,3.615915000203121,2.7206625020728916,0.9530864524031886,34.1747780133073,5.845919774792269,5.332596842447914,0.3213519787956034
5,283.88339154221404,16.848839471673237,12.624331175606203,-0.01859569129731886,152.3742346866194,12.343995896249293,11.769601779513888,-2.0258710916086247
6,9.814919878857912,3.132877252440305,2.5226311305783824,0.9647833040012612,67.8136783649576,8.23490609326892,7.530323282877607,-0.3466545010197155
7,7.153893218677281,2.6746762829690773,2.137288536215728,0.9743312746513308,20.251734517813045,4.5001927200746685,3.999480183919267,0.5978379274001748
8,19.91760941025531,4.462914900628883,3.510436968533498,0.9285340681044663,37.797692111920945,6.147982767698763,5.326412172670714,0.24940759094734066
9,9.181032976638129,3.0300219432601687,2.306734135465801,0.9670577395146007,29.745611566124094,5.4539537554075475,5.022052114981194,0.40930705033389825
10,18.244861073728238,4.271400364485661,3.226828118090359,0.9345360192540385,34.990444586032766,5.915272148095366,5.4261723271122655,0.30515434598794733
11,35.748014294854016,5.978964316238558,4.646815490722656,0.8717333439784603,47.17640260853462,6.868508033666018,6.122692079897283,0.06316370905592428
12,16.38329243860236,4.047628001509324,3.2037090805341615,0.941215472322752,9.557737332071952,3.091559045541901,2.664995433666085,0.8102009755534826
13,17.70224515469532,4.207403612050467,3.2662029770185366,0.9364829673800055,33.28445065812101,5.769267774867189,5.107223623770251,0.3390322369551748
14,831.1255750841365,28.82924860422374,21.606611546930278,-1.9821432141859532,201.05298090869107,14.179315248230116,13.48917744954427,-2.9925411541166
15,24.461701089904803,4.945877181037233,3.575389358232606,0.9122295136865208,449.612499771219,21.2040680005328,20.743447310836228,-7.928474477864526
16,8.979904359825937,2.996648854942123,2.370902986346552,0.9677794046369192,13.488444353386528,3.672661753195702,3.071093863028065,0.7321443882975055
17,46.36060499778422,6.808862239595117,5.150326595666273,0.8336545430145115,154.35909761380984,12.42413367659129,11.676764481155958,-2.065286806243998
18,11.51053953215658,3.3927186049179765,2.6998811973715724,0.958699288788021,55.66266464465811,7.460741561309982,6.872757975260414,-0.10535779343912144
19,475.5305486506485,21.8066629416481,16.115881577977593,-0.7062405986641642,166.8112159448037,12.915541643493071,12.362122599283852,-2.3125628956992514
20,14.645726512835477,3.826973544830886,3.0132221437850095,0.9474499940244839,60.267003140674376,7.763182539440534,6.906052652994789,-0.19679145858421565
21,10.015853364905523,3.1647833045732408,2.4477482345868955,0.9640623390233047,27.352422401203814,5.229954340259943,4.618273812753186,0.45683137047750033
22,14.542259188378972,3.813431419126214,2.9350496687979057,0.947821242833049,9.913748561494309,3.148610576348607,2.7537638346354134,0.8031312495619941
23,15.44522305730559,3.9300411012234453,3.055040899312721,0.9445813382324691,71.12431225078348,8.43352312208744,7.803917665834778,-0.41239758016051
24,24.55630589625936,4.955431958594463,3.8842643449891283,0.9118900642822944,40.608934265033675,6.372513967425546,5.9271066171151645,0.19358150998220758
25,303.4578459739827,17.420041503222166,12.689183476286113,-0.0888303564370383,59.047560859255945,7.684241072432329,6.936675460250286,-0.17257558537692375
26,10.174330541736268,3.189722643387081,2.4338637010106505,0.9634937105853683,12.628777333267909,3.553699105617681,2.882415658456305,0.7492157887868081
27,15.8259806392368,3.9781881100869025,3.0699035500580414,0.9432151504105013,48.11135011352595,6.936234577458143,6.431845657913771,0.04459737706847766
28,66.2369994784439,8.138611643176244,6.088500141647626,0.7623364934923536,57.97533681744844,7.614153716431553,6.812121355975113,-0.1512831947145148
29,16.57418222089441,4.071140162275724,3.1876606635327613,0.9405305449351403,13.362683359012692,3.655500425251335,2.8454085738570596,0.7346417695516945
30,246.0455194251121,15.685838180508943,11.969971163767687,0.11716953715426448,304.4228144798047,17.4477165978762,16.878581181278932,-5.045275278035349
31,7.413950721641962,2.7228570879945133,2.2414039611816405,0.9733981681015947,6.608571991922886,2.570714296051369,1.8001759847005219,0.8687659564735463
32,21.179168204216133,4.602083028826852,3.5067151915352306,0.9240074970188322,58.79132676337048,7.667550245245901,7.034315773292821,-0.16748724911706403
33,12.9236048690289,3.5949415668448492,2.7846517598853917,0.9536291004411775,33.036556984432416,5.74774364289435,5.137887460214118,0.34395494782259706
34,9.003841357326799,3.0006401579207727,2.324264655922943,0.9676935168278984,4.13564976842522,2.0336297028773993,1.4374801070601866,0.917873628011766
35,13.332850047453473,3.6514175394568986,2.761359247171654,0.9521606969070261,28.32601481673511,5.322218974895256,4.749680695710356,0.43749762188657626
36,49.04397118961332,7.003140094958355,5.298364488133844,0.8240264163871616,11.116993904627705,3.334215635592231,2.828097421151619,0.7792370176573152
37,34.44399916978916,5.868901018912243,4.934869571901716,0.8764122516826472,164.12445961105712,12.811106884694121,12.171540549949365,-2.2592088733660116
38,11.00333544741719,3.3171275898610215,2.7600588816516796,0.9605191764979616,26.433742922406516,5.141375586592222,4.071294035734955,0.4750746494876552
39,15.936560856145741,3.992062230996123,2.990814741602484,0.9428183799905262,17.239086818908902,4.151997930985624,3.8227161548755753,0.6576635508073307
40,187.05560222025534,13.676827198596001,10.00692829635908,0.3288299487353261,24.7162174324246,4.971540750353415,4.3596079508463506,0.5091815359959002
41,21.780820707237762,4.666992683435208,3.8391782508706145,0.9218487210372336,91.02945806967892,9.540935911622032,9.088741839373556,-0.8076770408352294
42,19.531924158080006,4.419493654037757,3.5748650460873,0.9299179367905788,15.012259585451739,3.8745657286271116,3.344170690465855,0.7018842300158776
43,99.33275081054029,9.966581701392926,7.4732544377165,0.6435863632928278,1703.621726637296,41.274952775712485,40.5253325285735,-32.83078342785495
44,9.94682001571248,3.1538579574407724,2.5679692538279415,0.9643100360501081,12.425376589220274,3.5249647642523003,2.946181007667821,0.7532549521840269
45,14.027986662586851,3.745395394692909,3.0636871625792295,0.9496664926593198,6.271799597639101,2.5043561243639254,1.9774021855107053,0.8754536347047834
46,8.9091042637505,2.984812266081487,2.3234343186864312,0.9680334408889666,58.768186746877475,7.6660411391328624,6.996885059497977,-0.16702773109481095
47,18.218960646961392,4.268367445166992,3.2320463648382223,0.934628951999995,58.77831892363757,7.666701958706727,7.120226711697046,-0.16722893742616018
48,11.264228372903327,3.3562223366313693,2.629200629468233,0.9595830723872334,8.380281388316352,2.8948715668085088,2.524892284252022,0.8335830775812979
49,20.767100126737187,4.557093385781905,3.537317081667342,0.9254860293343756,248.39527679409977,15.760560802017794,14.946742983217595,-3.9326717793805024
50,17.029166746477635,4.126641097366917,3.292979618288436,0.9388980250654559,29.151742713003323,5.399235382255836,4.648365275065107,0.4211001897617066
51,9.248829658839913,3.0411888561613387,2.397469430599572,0.9668144797451587,62.76657094301798,7.922535638482037,7.610535346137156,-0.24642826214344216
52,128.42808277522107,11.332611471996252,8.474463696749703,0.5391900489643018,40.288464555335715,6.347319477963569,5.3721210621021385,0.1999454469844547
53,9.393500150930432,3.064881751541229,2.4158805559266288,0.9662953907660511,36.671206878582666,6.055675592250848,5.408565379955148,0.27177750873358963
54,13.17349647040604,3.6295311639943306,2.826531968026791,0.9527324699371126,8.192525794070747,2.8622588621700076,2.3905623824508067,0.8373115571768411
55,17.13996819611645,4.14004446789119,3.1737082859255232,0.9385004608452371,16.440425460770076,4.054679452283507,3.628583102756073,0.6735234914367119
56,11.184789299116131,3.3443668009230283,2.6054810146115863,0.959868105963311,43.12165269556762,6.566707903932351,5.67402095088252,0.14368355921683118
57,9.26660834277453,3.0441104353775557,2.466001863299675,0.9667506884442504,27.947324628038004,5.286522924194882,4.900415039062502,0.44501771015485225
58,15.954389451728888,3.9942946125353456,3.142994099742961,0.9427544096027405,153.87608501064528,12.404679964055715,11.898689665617768,-2.0556950673532066
59,12.888206773572715,3.59001487094033,2.8465610000322448,0.9537561115611868,7.4052835873948935,2.721265071137851,2.0834456832320596,0.8529447345324077
60,370.49734856905735,19.248307680652275,14.435890946298276,-0.3293733065514841,89.34819035023894,9.452417169710557,8.595152565285009,-0.7742901667356088
61,7.769036882065356,2.787299209282232,2.174873755113134,0.9721240913369003,44.590837943441784,6.677637152724142,6.131163985640911,0.11450825160066314
62,10.676746016521435,3.267529038359328,2.432250271203383,0.9616910047804351,24.23320447703372,4.922723278535339,4.34081703468605,0.5187732818812567
63,18.229058573937735,4.269550160606822,3.3173242245080345,0.9345927198525162,77.17271438154593,8.78480019018907,8.214648098415795,-0.5325076840474192
64,12.626210393143756,3.553337922734588,2.930725040075913,0.9546961749540843,85.46515832116175,9.244736790258647,8.764906254521126,-0.6971803168404491
65,20.815478415880197,4.5623983184154575,3.696313721278928,0.9253124442697274,217.19686230667529,14.737600289961568,14.344468971535013,-3.313128844870123
66,137.45790176065125,11.724244187181162,8.961690996278007,0.5067903560418427,198.71500683809904,14.096631045682477,13.569593528464987,-2.9461133038459524
67,152.09434967609883,12.33265379697731,9.08815005320423,0.45427364239550905,23.090072650291617,4.805213070228168,4.281083961769383,0.5414737702909316
68,14.991935430703984,3.871942074812585,3.0403391568165907,0.9462077694966107,85.62472817385735,9.253363073707707,8.368880547417533,-0.7003490796260796
69,6.796149490136098,2.606942555971669,2.029238877206479,0.9756148869771563,20.81845338180555,4.562724337696236,4.086537792064522,0.5865839366506824
